0,Name
8.020154225201711,Ben Stokes
4.30725117020773,Kieron Pollard
3.960453785648159,Glenn Maxwell
3.748486382481927,Andre Russell
3.411298907578577,Hardik Pandya
2.438353040555169,Vijay Shankar
2.2630219236192977,Krunal Pandya
2.1696397211748213,Moises Henriques
1.9300336827501143,Ben Cutting
1.9085037127879991,Deepak Hooda
1.9025312372840475,Marcus Stoinis
1.8427681110036165,James Neesham
1.7085669014691631,Moeen Ali
1.236209700629566,Rahul Tewatia
1.2180317678400683,Tom Curran
1.2009138721470665,Chris Morris
1.175651145990947,Krishnappa Gowtham
0.9349214748285631,Sam Curran
0.9146795755861596,Abhishek Sharma
0.5491406597142954,Ravindra Jadeja
0.4964508459145961,Shakib Al Hasan
0.231666332074136,Mitchell Santner
0.08840183579527205,Dwayne Bravo
-0.20774188841405355,Mohammad Nabi
-0.3662873067876213,Axar Patel
-0.4531902587788532,Washington Sundar
-0.5888937194083426,Daniel Christian
-1.0365660419143525,Pawan Negi
-1.205607064111488,Jason Holder
-1.4389510072767386,Mitchell Marsh
-1.5499102321861433,Shivam Dube
-1.9153739378730057,Kedar Jadhav
-2.356222264145013,Ravichandran Ashwin
-2.436626474734171,Shreyas Gopal
-2.7173140049974203,Mahipal Lomror
-2.8588561557122913,Chris Woakes
-2.906093646047728,Piyush Chawla
-2.9699074625463044,Shivam Mavi
-3.7079418605912964,Harpreet Brar
-4.055592610325313,Shahbaz Ahmed
-7.147633050578065,Anukul Roy
-7.738421025854797,Daniel Sams
