0,Name
7.349113257448289,David Warner
7.272031140413036,Virat Kohli
6.8566501129006925,Rohit Sharma
6.822500072890258,Shikhar Dhawan
6.756335097339492,Chris Gayle
6.684091063322009,Suresh Raina
6.090811400801858,AB de Villiers
5.136261833845724,Robin Uthappa
4.646694640515177,MS Dhoni
4.4481524194936215,Ajinkya Rahane
3.67362657627276,Dinesh Karthik
3.572008718473483,Ambati Rayudu
3.0712039088634935,Manish Pandey
2.5578668813940553,KL Rahul
2.4281575837042433,Kieron Pollard
1.8457412967365923,Sanju Samson
1.7297960491436069,Shreyas Iyer
1.6983187693908037,Faf du Plessis
1.3857158429239291,Quinton de Kock
1.3300448300734995,Steven Smith
1.1197303463616326,Rishabh Pant
1.029091097616019,Suryakumar Yadav
0.9095553442360926,Wriddhiman Saha
0.6744224821044723,Kane Williamson
0.5966471278464924,David Miller
0.578238468086838,Daniel Sams
0.578238468086838,Anukul Roy
0.5472500037020742,Mayank Agarwal
0.5121551712421223,Jos Buttler
0.43770046840483084,Nitish Rana
0.43227328366794293,Karun Nair
0.36259719192526707,Mandeep Singh
0.35653276152827895,Ravindra Jadeja
0.14189413202813272,Chris Lynn
0.06519906749440935,Saurabh Tiwary
0.042733996590579824,Dwayne Bravo
-0.08780487533084091,Ishan Kishan
-0.11197935697706644,Eoin Morgan
-0.11644162732750463,Glenn Maxwell
-0.3661518410187365,Kedar Jadhav
-0.3945232729012551,Andre Russell
-0.44890693804834364,Shubman Gill
-0.5347647179847773,Rahul Tripathi
-0.5439409188282357,Manan Vohra
-0.5809244491160128,Hardik Pandya
-0.6044591128946282,Moises Henriques
-0.6872061831379623,Prithvi Shaw
-0.8186747538759658,Ben Stokes
-0.8471386147203274,Jonny Bairstow
-0.9376169336509895,Cheteshwar Pujara
-0.9545546817019936,Krunal Pandya
-1.0012999793234059,Vishnu Vinod
-1.0237416283058254,Marcus Stoinis
-1.0240367952405145,Shakib Al Hasan
-1.056576183383095,Shreevats Goswami
-1.0845221937005811,Axar Patel
-1.0863569907067927,Devdutt Padikkal
-1.1366552295465686,Vijay Shankar
-1.139950818724286,Shivam Mavi
-1.1483704117716704,Piyush Chawla
-1.2603995273960475,Ravichandran Ashwin
-1.2639653657203738,Deepak Hooda
-1.2761922019135647,Yashasvi Jaiswal
-1.411510721117399,James Neesham
-1.4193432831184485,Chris Woakes
-1.4548366397191592,Aditya Tare
-1.460017147503374,Ruturaj Gaikwad
-1.4738403772147806,Daniel Christian
-1.477190860253004,Josh Philippe
-1.4874070443269782,Rinku Singh
-1.4921038135914486,Prabhsimran Singh
-1.501419667055604,Shreyas Gopal
-1.5687924896131404,Mitchell Marsh
-1.5847420786354829,Riyan Parag
-1.6129612849222084,Sam Billings
-1.641318170989964,Mahipal Lomror
-1.651261047616313,Shahbaz Ahmed
-1.6756705926382252,Tom Curran
-1.6765699367425575,Pawan Negi
-1.6932976658734655,Sarfaraz Khan
-1.694999277290476,Priyam Garg
-1.7257112789309332,Rahul Tewatia
-1.8053942877136273,N Jagadeesan
-1.8074807253226899,Shimron Hetmyer
-1.8111226270992251,Chris Morris
-1.8568692327163567,Shivam Dube
-1.8914214450342488,Washington Sundar
-1.9167437226815394,Sam Curran
-1.9606373331406608,Jason Holder
-1.9849683685304491,Nicholas Pooran
-2.072196861746225,Sheldon Jackson
-2.0812539157493046,Moeen Ali
-2.1726045582141973,Sachin Baby
-2.3237521547894078,Abhishek Sharma
-2.4138874812425923,Liam Livingstone
-2.4142281474155327,Mohammad Nabi
-2.4340688670354735,Mitchell Santner
-2.712528856758625,Ben Cutting
-2.8272369435392806,Krishnappa Gowtham
-2.981731607363956,Abdul Samad
-3.031104790374942,Harpreet Brar
